"","ID","Elevation","value","year","scenario","variable"
"1","CM1",18.391,291.043426513672,2022,"ssp370","bio1"
"2","CM1",18.391,297.467803955078,2022,"ssp370","bio10"
"3","CM1",18.391,285.241058349609,2022,"ssp370","bio11"
"4","CM1",18.391,921.976440429688,2022,"ssp370","bio12"
"5","CM1",18.391,312.469757080078,2022,"ssp370","bio13"
"6","CM1",18.391,1.19722628593445,2022,"ssp370","bio14"
"7","CM1",18.391,130.945938110352,2022,"ssp370","bio15"
"8","CM1",18.391,690.899475097656,2022,"ssp370","bio16"
"9","CM1",18.391,6.72632837295532,2022,"ssp370","bio17"
"10","CM1",18.391,6.72632837295532,2022,"ssp370","bio18"
"11","CM1",18.391,629.985107421875,2022,"ssp370","bio19"
"12","CM1",18.391,7.05632877349854,2022,"ssp370","bio2"
"13","CM1",18.391,21.1246280670166,2022,"ssp370","bio3"
"14","CM1",18.391,4.78289937973022,2022,"ssp370","bio4"
"15","CM1",18.391,303.005859375,2022,"ssp370","bio5"
"16","CM1",18.391,281.881225585938,2022,"ssp370","bio6"
"17","CM1",18.391,21.1246280670166,2022,"ssp370","bio7"
"18","CM1",18.391,286.259429931641,2022,"ssp370","bio8"
"19","CM1",18.391,297.467803955078,2022,"ssp370","bio9"
"20","CM1",18.391,106522.78125,2022,"ssp370","gdd"
"21","CM1",18.391,312.469757080078,2022,"ssp370","pr_1"
"22","CM1",18.391,56.1042442321777,2022,"ssp370","pr_2"
"23","CM1",18.391,29.8252925872803,2022,"ssp370","pr_3"
"24","CM1",18.391,55.7955284118652,2022,"ssp370","pr_4"
"25","CM1",18.391,3.4726734161377,2022,"ssp370","pr_5"
"26","CM1",18.391,5.52588748931885,2022,"ssp370","pr_6"
"27","CM1",18.391,1.19722628593445,2022,"ssp370","pr_7"
"28","CM1",18.391,3.80746579170227,2022,"ssp370","pr_8"
"29","CM1",18.391,1.7216362953186,2022,"ssp370","pr_9"
"30","CM1",18.391,73.6270141601562,2022,"ssp370","pr_10"
"31","CM1",18.391,117.018615722656,2022,"ssp370","pr_11"
"32","CM1",18.391,261.411102294922,2022,"ssp370","pr_12"
"33","CM1",18.391,284.785430908203,2022,"ssp370","tas_1"
"34","CM1",18.391,286.108489990234,2022,"ssp370","tas_2"
"35","CM1",18.391,286.617095947266,2022,"ssp370","tas_3"
